Country,Immigrant,State,Year
Egypt,28,Alabama,2016
Iran,28,Alabama,2016
Iraq,34,Alabama,2016
Libya,-,Alabama,2016
Mali,D,Alabama,2016
Somalia,D,Alabama,2016
South Sudan,-,Alabama,2016
Sudan,21,Alabama,2016
Syria,11,Alabama,2016
Yemen,122,Alabama,2016
Egypt,D,Alaska,2016
Iran,4,Alaska,2016
Iraq,22,Alaska,2016
Libya,D,Alaska,2016
Mali,-,Alaska,2016
Somalia,35,Alaska,2016
South Sudan,D,Alaska,2016
Sudan,9,Alaska,2016
Syria,-,Alaska,2016
Yemen,-,Alaska,2016
Egypt,70,Arizona,2016
Iran,217,Arizona,2016
Iraq,954,Arizona,2016
Libya,14,Arizona,2016
Mali,3,Arizona,2016
Somalia,89,Arizona,2016
South Sudan,10,Arizona,2016
Sudan,110,Arizona,2016
Syria,97,Arizona,2016
Yemen,10,Arizona,2016
Egypt,14,Arkansas,2016
Iran,18,Arkansas,2016
Iraq,15,Arkansas,2016
Libya,-,Arkansas,2016
Mali,-,Arkansas,2016
Somalia,3,Arkansas,2016
South Sudan,-,Arkansas,2016
Sudan,D,Arkansas,2016
Syria,12,Arkansas,2016
Yemen,53,Arkansas,2016
Egypt,2183,California,2016
Iran,6368,California,2016
Iraq,3011,California,2016
Libya,60,California,2016
Mali,5,California,2016
Somalia,144,California,2016
South Sudan,7,California,2016
Sudan,150,California,2016
Syria,1450,California,2016
Yemen,1689,California,2016
Egypt,37,Colorado,2016
Iran,106,Colorado,2016
Iraq,347,Colorado,2016
Libya,39,Colorado,2016
Mali,18,Colorado,2016
Somalia,252,Colorado,2016
South Sudan,4,Colorado,2016
Sudan,117,Colorado,2016
Syria,16,Colorado,2016
Yemen,D,Colorado,2016
Egypt,104,Connecticut,2016
Iran,74,Connecticut,2016
Iraq,122,Connecticut,2016
Libya,13,Connecticut,2016
Mali,D,Connecticut,2016
Somalia,4,Connecticut,2016
South Sudan,-,Connecticut,2016
Sudan,46,Connecticut,2016
Syria,69,Connecticut,2016
Yemen,57,Connecticut,2016
Egypt,48,Delaware,2016
Iran,12,Delaware,2016
Iraq,D,Delaware,2016
Libya,-,Delaware,2016
Mali,-,Delaware,2016
Somalia,-,Delaware,2016
South Sudan,-,Delaware,2016
Sudan,-,Delaware,2016
Syria,13,Delaware,2016
Yemen,34,Delaware,2016
Egypt,18,District of Columbia,2016
Iran,47,District of Columbia,2016
Iraq,18,District of Columbia,2016
Libya,-,District of Columbia,2016
Mali,D,District of Columbia,2016
Somalia,D,District of Columbia,2016
South Sudan,-,District of Columbia,2016
Sudan,10,District of Columbia,2016
Syria,15,District of Columbia,2016
Yemen,3,District of Columbia,2016
Egypt,620,Florida,2016
Iran,347,Florida,2016
Iraq,411,Florida,2016
Libya,42,Florida,2016
Mali,D,Florida,2016
Somalia,18,Florida,2016
South Sudan,3,Florida,2016
Sudan,81,Florida,2016
Syria,303,Florida,2016
Yemen,24,Florida,2016
Egypt,131,Georgia,2016
Iran,353,Georgia,2016
Iraq,213,Georgia,2016
Libya,36,Georgia,2016
Mali,24,Georgia,2016
Somalia,103,Georgia,2016
South Sudan,-,Georgia,2016
Sudan,54,Georgia,2016
Syria,46,Georgia,2016
Yemen,16,Georgia,2016
Egypt,5,Hawaii,2016
Iran,D,Hawaii,2016
Iraq,4,Hawaii,2016
Libya,-,Hawaii,2016
Mali,-,Hawaii,2016
Somalia,-,Hawaii,2016
South Sudan,-,Hawaii,2016
Sudan,3,Hawaii,2016
Syria,3,Hawaii,2016
Yemen,-,Hawaii,2016
