State,Jan.,Feb.,March,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.
Alabama,11.1,11.1,11,11,10.7,10.3,9.7,9.2,8.9,8.9,9,9.1
Alaska,8.5,8.5,8.5,8.4,8.2,7.9,7.7,7.7,7.8,7.9,8,8.1
Arizona,9.2,9.5,9.6,9.5,9.6,9.6,9.6,9.7,9.7,9.5,9.4,9.4
Arkansas,7.6,7.7,7.8,7.8,7.7,7.5,7.4,7.5,7.7,7.8,7.9,7.9
California,12.5,12.5,12.6,12.5,12.4,12.3,12.3,12.4,12.4,12.4,12.4,12.5
Colorado,7.4,7.7,7.9,8,8,8,8,8.2,8.2,8.4,8.6,8.8
Connecticut,9,9.1,9.2,9,8.9,8.8,8.9,9.1,9.1,9.1,9,9
Delaware,8.9,9.2,9.2,9,8.8,8.5,8.4,8.4,8.4,8.3,8.4,8.5
DC,12,11.9,11.5,11,10.4,10,9.9,9.9,9.8,9.7,9.8,9.7
Florida,12,12.2,12.3,12,11.7,11.4,11.5,11.7,11.9,11.9,12,12
Georgia,10.4,10.5,10.5,10.3,10.1,10,9.9,10,10,9.9,10.1,10.2
Hawaii,6.9,6.9,6.9,6.7,6.6,6.3,6.4,6.4,6.3,6.4,6.4,6.4
Idaho,9.3,9.5,9.4,9.1,9,8.8,8.8,8.9,9,9.1,9.4,9.5
Illinois,11.3,11.4,11.5,11.2,10.8,10.4,10.3,10.1,9.9,9.8,9.6,9.3
Indiana,9.7,9.8,9.9,10,10,10.1,10.2,10.2,10.1,9.9,9.8,9.5
Iowa,6.6,6.7,6.8,6.9,6.8,6.7,6.8,6.8,6.8,6.7,6.6,6.3
Kansas,6.5,6.5,6.5,6.5,6.6,6.5,6.5,6.6,6.6,6.7,6.8,6.8
Kentucky,10.7,10.9,10.7,10.6,10.4,10,9.9,10,10.1,10,10.2,10.3
Louisiana,7.4,7.3,6.9,6.7,6.8,7,7.2,7.6,7.8,8.1,8.2,8
Maine,8.2,8.3,8.2,8.1,8,8,8.1,8,7.7,7.4,7.3,7.3
Maryland,7.5,7.7,7.7,7.5,7.3,7.1,7.1,7.3,7.5,7.4,7.4,7.4
Massachusetts,9.5,9.5,9.3,9.2,9.2,9,9,8.8,8.4,8.1,8.2,8.2
Michigan,14.3,14.1,14.1,14,13.6,13.2,13.1,13.1,13,12.8,12.4,11.7
Minnesota,7.3,7.3,7.3,7.1,7,6.8,6.9,7,7,7.1,7.1,7
Mississippi,11,11.5,11.6,11.5,11.4,11,10.8,10,9.8,9.7,9.9,10.1
Missouri,9.4,9.4,9.5,9.5,9.3,9.1,9.2,9.3,9.3,9.4,9.4,9.5
Montana,6.8,6.9,7.1,7.1,7.2,7.3,7.3,7.4,7.4,7.3,7.2,7.2
Nebraska,4.7,4.8,5,5,4.9,4.9,4.7,4.6,4.6,4.7,4.6,4.4
Nevada,13,13.2,13.4,13.7,14,14.2,14.3,14.4,14.4,14.2,14.3,14.5
New_Hampshire,7,7.1,7,6.7,6.4,5.9,5.8,5.7,5.5,5.4,5.4,5.5
New_Jersey,9.9,9.9,9.8,9.8,9.7,9.6,9.7,9.6,9.4,9.2,9.2,9.1
New_Mexico,8.5,8.7,8.8,8.7,8.4,8.2,8.2,8.3,8.2,8.4,8.5,8.5
New_York,8.8,8.8,8.6,8.4,8.3,8.2,8.2,8.3,8.3,8.3,8.3,8.2
North_Carolina,11.1,11.2,11.1,10.8,10.4,10,9.8,9.7,9.6,9.6,9.7,9.8
North_Dakota,4.2,4.1,4,3.8,3.6,3.6,3.6,3.7,3.7,3.8,3.8,3.8
Ohio,10.8,10.9,11,10.9,10.7,10.5,10.3,10.1,10,9.9,9.8,9.6
Oklahoma,6.7,6.8,6.6,6.6,6.7,6.8,6.9,7,6.9,6.9,6.9,6.8
Oregon,10.7,10.5,10.6,10.6,10.6,10.5,10.6,10.6,10.6,10.5,10.6,10.6
Pennsylvania,8.8,8.9,9,9,9.2,9.2,9.3,9.2,9,8.8,8.6,8.5
Puerto_Rico,15.9,16,16.2,17.2,16.9,16.3,16.1,15.6,16,15.7,15.8,15.7
Rhode_Island,12.7,12.7,12.6,12.5,12.3,12,11.9,11.8,11.5,11.4,11.6,11.5
South_Carolina,12.5,12.4,12.2,11.5,11.1,10.7,10.7,11,11,10.7,10.6,10.7
South_Dakota,4.8,4.8,4.8,4.7,4.6,4.4,4.4,4.5,4.4,4.5,4.5,4.6
Tennessee,10.7,10.7,10.6,10.5,10.4,10,9.7,9.6,9.4,9.4,9.4,9.4
Texas,8.2,8.2,8.2,8.3,8.3,8.2,8.2,8.3,8.1,8.1,8.2,8.3
Utah,6.8,7.1,7.2,7.3,7.3,7.2,7.2,7.4,7.5,7.6,7.5,7.5
Vermont,6.7,6.6,6.6,6.4,6.2,6,6,6,5.8,5.7,5.7,5.8
Virginia,6.9,7.2,7.3,7.2,7.1,7,6.9,7,6.8,6.8,6.8,6.7
Washington,9.3,9.4,9.5,9.3,9.2,9,8.9,8.9,9,9.1,9.2,9.3
West_Virginia,9.2,9.5,9.5,9.1,8.9,8.5,8.6,8.8,9.2,9.3,9.3,9.6
Wisconsin,8.7,8.7,8.8,8.5,8.2,7.9,7.9,7.9,7.8,7.8,7.6,7.5
Wyoming,7.6,7.5,7.3,7.1,7,6.8,6.7,6.8,6.8,6.7,6.6,6.4
