State,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec
Alabama,6.9,7.2,7.2,6.9,6.8,6.5,6.3,6.3,6.4,6.5,6.2,6.1
Alaska,6.7,6.5,6.2,6,5.9,6.1,6.3,6.5,6.5,6.5,6.4,6.4
Arizona,8,7.9,7.9,7.9,7.8,8,8,8.3,8.3,8.2,7.8,7.6
Arkansas,7.2,7.2,7.2,7.1,7.3,7.3,7.4,7.4,7.4,7.5,7.5,7.4
California,9.8,9.6,9.4,9,8.6,8.5,8.7,8.9,8.7,8.7,8.5,8.3
Colorado,7.3,7.2,7.1,6.9,6.9,7,7.1,7,6.9,6.8,6.5,6.2
Connecticut,8.1,8,8,8,8,8.1,8.1,8.1,8,7.9,7.6,7.4
Delaware,7.2,7.2,7.3,7.2,7.2,7.3,7.4,7.3,7,6.8,6.5,6.2
D.C.,8.6,8.6,8.5,8.5,8.5,8.5,8.6,8.7,8.6,8.9,8.6,8.1
Florida,7.8,7.7,7.5,7.2,7.1,7.1,7.1,7,6.8,6.7,6.4,6.2
Georgia,8.7,8.6,8.4,8.2,8.3,8.6,8.8,8.7,8.3,8.1,7.6,7.4
Hawaii,5.2,5.2,5.1,4.9,4.7,4.6,4.5,4.3,4.3,4.4,4.4,4.5
Idaho,6.3,6.2,6.2,6.1,6.2,6.4,6.6,6.8,6.8,6.7,6.1,5.7
Illinois,9,9.5,9.5,9.3,9.1,9.2,9.2,9.2,9.1,8.9,8.7,8.6
Indiana,8.6,8.7,8.7,8.5,8.3,8.4,8.4,8.1,7.8,7.5,7.3,6.9
Iowa,5,5,4.9,4.7,4.6,4.6,4.8,4.9,4.7,4.6,4.3,4.2
Kansas,5.5,5.5,5.6,5.5,5.7,5.8,5.9,5.9,5.7,5.6,5.1,4.9
Kentucky,7.9,7.9,8,7.9,8.1,8.4,8.5,8.4,8.3,8.4,8.2,8
Louisiana,5.9,6,6.2,6.5,6.8,7,7,7,6.8,6.5,6.3,5.7
Maine,7.3,7.3,7.1,6.9,6.8,6.8,6.9,7,6.9,6.7,6.4,6.2
Maryland,6.7,6.6,6.6,6.5,6.7,7,7.1,7,6.7,6.7,6.4,6.1
Massachusetts,6.7,6.5,6.4,6.4,6.6,7,7.2,7.2,7.1,7.2,7.1,7
Michigan,8.9,8.8,8.5,8.4,8.4,8.7,8.8,9,9,9,8.8,8.4
Minnesota,5.6,5.5,5.4,5.3,5.3,5.2,5.2,5.1,5,4.8,4.6,4.6
Mississippi,9.3,9.6,9.4,9.1,9.1,9,8.5,8.5,8.5,8.5,8.3,8
Missouri,6.5,6.7,6.7,6.6,6.8,6.9,7.1,7.2,6.9,6.5,6.1,5.9
Montana,5.7,5.6,5.6,5.5,5.4,5.4,5.3,5.3,5.3,5.2,5.2,5.2
Nebraska,3.8,3.8,3.8,3.7,3.8,4,4.2,4.2,4.1,3.9,3.7,3.6
Nevada,9.7,9.6,9.7,9.6,9.5,9.6,9.5,9.5,9.4,9.3,9,8.8
New_Hampshire,5.8,5.8,5.7,5.5,5.3,5.2,5.1,5,5,5.1,5.1,5.1
New_Jersey,9.5,9.3,9,8.7,8.6,8.7,8.6,8.5,8.4,8.4,7.8,7.3
New_Mexico,6.6,6.8,6.9,6.7,6.7,6.8,6.9,6.8,6.7,6.6,6.4,6.4
New_York,8.4,8.4,8.2,7.8,7.6,7.5,7.5,7.6,7.6,7.7,7.4,7.1
North_Carolina,9.5,9.4,9.2,8.9,8.8,8.8,8.9,8.7,8.3,8,7.4,6.9
North_Dakota,3.3,3.3,3.3,3.3,3.2,3.1,3,3,2.8,2.7,2.6,2.6
Ohio,7,7,7.1,7,7,7.2,7.2,7.3,7.4,7.5,7.4,7.2
Oklahoma,5.1,5,5,4.9,5,5.2,5.3,5.3,5.4,5.5,5.4,5.4
Oregon,8.4,8.4,8.2,8,7.8,7.9,8,8.1,7.8,7.7,7.3,7
Pennsylvania,8.2,8.1,7.9,7.6,7.5,7.5,7.5,7.7,7.6,7.5,7.3,6.9
Puerto_Rico,14.6,14.5,14.2,13.7,13.4,13.2,13.5,13.9,14.5,14.7,14.74,15.4
Rhode_Island,9.8,9.4,9.1,8.8,8.9,8.9,8.9,9.1,9.2,9.2,9,9.1
South_Carolina,8.7,8.6,8.4,8,8,8.1,8.1,8.1,7.9,7.5,7.1,6.6
South_Dakota,4.4,4.4,4.3,4.1,4,3.9,3.9,3.8,3.7,3.7,3.6,3.6
Tennessee,7.7,7.8,7.9,8,8.3,8.5,8.5,8.5,8.4,8.4,8.1,7.8
Texas,6.3,6.4,6.4,6.4,6.5,6.5,6.5,6.4,6.3,6.2,6.1,6
Utah,5.4,5.2,4.9,4.7,4.6,4.7,4.6,4.7,4.7,4.6,4.3,4.1
Vermont,4.7,4.4,4.1,4,4.1,4.4,4.6,4.6,4.6,4.5,4.4,4.2
Virginia,5.6,5.6,5.3,5.2,5.3,5.5,5.7,5.8,5.6,5.6,5.4,5.2
Washington,7.5,7.5,7.3,7,6.8,6.8,6.9,7,6.9,7,6.8,6.6
West_Virginia,7.4,7.3,7,6.6,6.2,6.1,6.2,6.3,6.2,6.2,6,5.9
Wisconsin,7,7.2,7.1,7.1,7,6.8,6.8,6.7,6.6,6.5,6.3,6.2
Wyoming,4.9,4.9,4.9,4.8,4.6,4.6,4.6,4.6,4.5,4.6,4.4,4.4
