State,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.
Alabama,6,5.8,5.7,5.8,6.1,6.1,6.2,6.2,6,5.9,6,6.2
Alaska,6.3,6.3,6.5,6.7,6.8,6.8,6.7,6.6,6.4,6.4,6.4,6.5
Arizona,6.6,6.5,6.2,6,5.8,5.9,6.1,6.3,6.3,6.1,6,5.8
Arkansas,5.6,5.5,5.6,5.7,5.7,5.7,5.6,5.4,5.2,5.1,5,4.8
California,6.9,6.7,6.5,6.3,6.4,6.3,6.2,6.1,5.9,5.8,5.7,5.8
Colorado,4.2,4.2,4.2,4.2,4.3,4.4,4.3,4.2,4,3.8,3.6,3.5
Connecticut,6.3,6.4,6.4,6.3,6,5.7,5.4,5.3,5.2,5.1,5.1,5.2
Delaware,5,4.8,4.6,4.5,4.6,4.7,4.7,4.9,4.9,5.1,5.1,5
D.C.,7.7,7.8,7.7,7.5,7.3,7,6.8,6.8,6.7,6.6,6.6,6.6
Florida,5.7,5.6,5.7,5.6,5.7,5.5,5.4,5.3,5.2,5.1,5,5
Georgia,6.4,6.3,6.3,6.3,6.3,6.1,6,5.9,5.8,5.7,5.6,5.5
Hawaii,4.1,4.1,4.1,4.1,4.1,4,3.7,3.5,3.4,3.3,3.2,3.2
Idaho,4.1,3.9,3.8,3.8,3.9,4,4.1,4.2,4.2,4,3.9,3.9
Illinois,6.1,6,6,6,6,5.9,5.8,5.6,5.4,5.4,5.7,5.9
Indiana,6,5.9,5.8,5.4,5.1,4.9,4.7,4.6,4.5,4.4,4.4,4.4
Iowa,4.2,4.1,4,3.8,3.8,3.7,3.8,3.7,3.6,3.5,3.4,3.4
Kansas,4.2,4.2,4.2,4.3,4.4,4.5,4.6,4.6,4.4,4.1,4,3.9
Kentucky,5.5,5.2,5.1,5,5.1,5.1,5.2,5.2,5,4.9,4.9,5.3
Louisiana,7,6.7,6.6,6.6,6.6,6.4,6.2,6,6,6.2,6.3,6.1
Maine,5.2,5,4.8,4.7,4.7,4.7,4.6,4.5,4.4,4.3,4.1,4
Maryland,5.5,5.5,5.4,5.3,5.3,5.2,5.2,5.1,5.1,5.1,5.2,5.1
Massachusetts,5.1,4.9,4.8,4.7,4.6,4.6,4.7,4.7,4.6,4.6,4.7,4.7
Michigan,6.3,5.9,5.6,5.4,5.5,5.5,5.3,5.1,5,5,5.1,5.1
Minnesota,3.7,3.7,3.7,3.7,3.8,3.9,4,4,3.8,3.7,3.5,3.5
Mississippi,7.1,7,6.8,6.6,6.7,6.6,6.5,6.3,6.1,5.9,6,6.4
Missouri,5.5,5.5,5.6,5.7,5.8,5.8,5.8,5.6,5.3,5,4.7,4.4
Montana,4.4,4.3,4.1,4,3.9,3.9,4,4.1,4.1,4.1,4,4
Nebraska,2.9,2.7,2.6,2.5,2.6,2.6,2.7,2.8,2.9,2.9,2.9,2.9
Nevada,7.1,7.1,7.1,7.1,7,6.9,6.8,6.8,6.7,6.6,6.5,6.4
New_Hampshire,4,3.9,3.9,3.8,3.8,3.8,3.7,3.6,3.4,3.3,3.2,3.1
New_Jersey,6.3,6.4,6.5,6.5,6.5,6.1,5.9,5.7,5.6,5.4,5.3,5.1
New_Mexico,5.9,6,6.1,6.2,6.2,6.4,6.5,6.7,6.8,6.8,6.8,6.7
New_York,5.8,5.8,5.7,5.7,5.7,5.5,5.4,5.2,5.1,4.8,4.8,4.8
North_Carolina,5.4,5.3,5.4,5.5,5.7,5.8,5.9,5.9,5.8,5.7,5.7,5.6
North_Dakota,2.8,2.9,3.1,3.1,3.1,3.1,3,2.9,2.8,2.8,2.7,2.7
Ohio,5.1,5.1,5.1,5.2,5.2,5.2,5,4.7,4.5,4.4,4.5,4.7
Oklahoma,3.9,3.9,3.9,4.1,4.3,4.5,4.5,4.6,4.4,4.3,4.2,4.1
Oregon,6.3,5.8,5.4,5.2,5.3,5.5,5.9,6.1,6.2,6,5.7,5.4
Pennsylvania,5.1,5.2,5.3,5.3,5.4,5.4,5.4,5.4,5.3,5.1,5,4.8
Puerto_Rico,12.4,11.6,11.8,12.2,12.4,12.6,11.9,11.6,11.4,12.4,12.5,12.2
Rhode_Island,6.5,6.3,6.3,6.1,5.9,5.9,5.8,5.6,5.4,5.3,5.2,5.1
South_Carolina,6.6,6.6,6.7,6.7,6.8,6.6,6.4,6,5.7,5.6,5.5,5.5
South_Dakota,3.4,3.4,3.5,3.6,3.8,3.8,3.8,3.7,3.5,3.2,3,2.9
Tennessee,6.7,6.6,6.3,6,5.8,5.7,5.7,5.7,5.7,5.6,5.6,5.6
Texas,4.4,4.3,4.2,4.2,4.3,4.2,4.2,4.1,4.2,4.4,4.6,4.7
Utah,3.4,3.4,3.4,3.4,3.5,3.5,3.6,3.7,3.6,3.6,3.5,3.5
Vermont,4.1,3.9,3.8,3.6,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.6
Virginia,4.7,4.7,4.8,4.8,4.9,4.9,4.8,4.5,4.3,4.2,4.2,4.2
Washington,6.4,6.3,5.9,5.5,5.4,5.3,5.3,5.3,5.2,5.2,5.3,5.5
West_Virginia,5.9,6.1,6.6,7,7.2,7.4,7.5,7.6,7.3,6.9,6.5,6.3
Wisconsin,5,4.8,4.6,4.4,4.6,4.6,4.6,4.5,4.3,4.3,4.2,4.3
Wyoming,4,4,4.1,4.1,4.1,4.1,4.1,4,4,4,4.1,4.3
