Location,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander,Two Or More Races,Total
United States,0.61,0.12,0.18,0.06,0.01,<.01,0.02,1
Alabama,0.66,0.27,0.04,N/A,N/A,N/A,0.01,1
Alaska,0.6,0.03,0.07,0.05,0.17,0.02,0.07,1
Arizona,0.54,0.04,0.34,0.03,0.02,N/A,0.01,1
Arkansas,0.72,0.15,0.07,N/A,0.01,N/A,0.02,1
California,0.38,0.05,0.39,0.15,0.01,0.01,0.02,1
Colorado,0.7,0.04,0.19,0.04,N/A,N/A,0.02,1
Connecticut,0.67,0.1,0.16,0.05,N/A,<.01,N/A,1
Delaware,0.62,0.21,0.11,0.03,N/A,<.01,0.02,1
District of Columbia,0.38,0.46,0.1,0.05,N/A,N/A,0.02,1
Florida,0.55,0.15,0.26,0.03,<.01,N/A,0.01,1
Georgia,0.52,0.32,0.1,0.04,N/A,N/A,0.02,1
Hawaii,0.19,0.02,0.1,0.39,N/A,0.17,0.14,1
Idaho,0.82,0.01,0.13,0.02,N/A,N/A,0.01,1
Illinois,0.61,0.14,0.17,0.06,N/A,N/A,0.01,1
Indiana,0.81,0.09,0.06,0.02,N/A,N/A,0.02,1
Iowa,0.86,0.03,0.06,0.02,N/A,N/A,0.02,1
Kansas,0.74,0.06,0.14,0.02,N/A,N/A,0.03,1
Kentucky,0.84,0.08,0.05,N/A,N/A,N/A,N/A,1
Louisiana,0.59,0.32,0.05,0.02,N/A,N/A,0.02,1
Maine,0.92,0.01,0.02,N/A,N/A,N/A,0.03,1
Maryland,0.53,0.29,0.11,0.05,N/A,N/A,0.02,1
Massachusetts,0.72,0.07,0.12,0.07,N/A,N/A,0.01,1
Michigan,0.75,0.14,0.05,0.03,N/A,N/A,0.02,1
Minnesota,0.8,0.06,0.06,0.04,N/A,N/A,0.02,1
Mississippi,0.58,0.37,0.03,N/A,N/A,N/A,0.01,1
Missouri,0.79,0.11,0.04,0.02,N/A,N/A,0.03,1
Montana,0.89,0.01,0.03,0.01,N/A,N/A,0.03,1
Nebraska,0.78,0.04,0.13,0.03,N/A,<.01,0.02,1
Nevada,0.52,0.09,0.27,0.08,N/A,N/A,0.03,1
New Hampshire,0.92,0.01,0.03,0.02,N/A,N/A,0.02,1
New Jersey,0.58,0.13,0.18,0.11,N/A,N/A,N/A,1
New Mexico,0.37,0.02,0.46,N/A,N/A,N/A,0.01,1
New York,0.57,0.14,0.18,0.09,<.01,N/A,0.01,1
North Carolina,0.61,0.21,0.1,0.03,N/A,N/A,0.02,1
North Dakota,0.85,0.03,0.04,N/A,0.04,N/A,0.03,1
Ohio,0.78,0.12,0.04,0.02,N/A,N/A,0.03,1
Oklahoma,0.64,0.07,0.12,N/A,0.08,N/A,0.06,1
Oregon,0.75,0.02,0.14,0.04,N/A,N/A,0.04,1
Pennsylvania,0.76,0.11,0.07,0.04,N/A,N/A,0.02,1
Rhode Island,0.72,0.06,0.16,0.04,N/A,N/A,N/A,1
South Carolina,0.65,0.26,0.05,0.02,N/A,N/A,N/A,1
South Dakota,0.82,0.02,0.05,N/A,N/A,<.01,0.02,1
Tennessee,0.73,0.17,0.06,0.02,N/A,N/A,0.02,1
Texas,0.43,0.12,0.38,0.05,<.01,N/A,0.01,1
Utah,0.79,0.01,0.14,0.02,N/A,N/A,0.02,1
Vermont,0.94,0.01,0.01,N/A,N/A,N/A,0.02,1
Virginia,0.61,0.18,0.11,0.07,N/A,N/A,0.03,1
Washington,0.66,0.03,0.14,0.1,N/A,N/A,0.04,1
West Virginia,0.93,0.03,0.01,N/A,N/A,<.01,N/A,1
Wisconsin,0.8,0.06,0.08,0.03,N/A,<.01,0.02,1
Wyoming,0.86,0.01,0.09,N/A,N/A,N/A,0.02,1
,,,,,,,,
Notes,,,,,,,,
Population and demographic data on are based on analysis of the Census Bureau‰Ûªs March Current Population Survey (CPS; Annual Social and Economic Supplement) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the non-institutionalized population. ,,,,,,,,
,,,,,,,,
Data may not sum to totals due to rounding. Population numbers are rounded to the nearest 100.,,,,,,,,
,,,,,,,,
Sources,,,,,,,,
"Kaiser Family Foundation estimates based on the Census Bureau's March Current Population Survey (CPS: Annual Social and Economic Supplements), 2017.",,,,,,,,
,,,,,,,,
Definitions,,,,,,,,
*N/A*: Estimates with relative standard errors greater than 30% are not provided.,,,,,,,,
,,,,,,,,
Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic.,,,,,,,,
